,location index,lat,lon,location
71,71,-37.90459394,145.1705733,"Wheelers Hill VIC 3150, Australia"
72,72,-37.937714299999996,145.19284430000002,"366 State Route 16, Mulgrave VIC 3170, Australia"
73,73,-38.01271254,145.1591823,"185 Hutton Rd, Keysborough VIC 3173, Australia"
74,74,-37.95286653,145.0128835,"Sandringham VIC 3191, Australia"
75,75,-37.95363852,145.0194502,"Unit 1/184 Bay Rd, Sandringham VIC 3191, Australia"
76,76,-37.97987323,145.0340722,"122 Reserve Rd, Beaumaris VIC 3193, Australia"
77,77,-37.97898827,145.0342416,"130 Reserve Rd, Beaumaris VIC 3193, Australia"
78,78,-37.98001952,145.05300549999998,"97 Charman Rd, Beaumaris VIC 3193, Australia"
79,79,-37.98538483,145.05197900000002,"2A Charman Rd, Mentone VIC 3194, Australia"
80,80,-37.99612714,145.0836316,"422 Nepean Highway Service Road, Parkdale VIC 3195, Australia"
81,81,-37.64331048,145.02637959999998,"High St, Epping VIC 3076, Australia"
82,82,-37.64372251,145.0263034,"827-835 High St, Epping VIC 3076, Australia"
83,83,-38.3691369,144.8894494,"Unit 2/89 Boneo Rd, Rosebud VIC 3939, Australia"
84,84,-38.37093223,144.83645080000002,"Unit 2/32 Richardson St, Rye VIC 3941, Australia"
85,85,-38.32945382,144.98570680000003,"Unit 17/113 Country Club Dr, Safety Beach VIC 3936, Australia"
86,86,-38.37950785,144.7951403,"186 Melbourne Rd, Rye VIC 3941, Australia"
87,87,-38.37369944,144.8138504,"Rye VIC 3941, Australia"
88,88,-37.78844996,144.933782,"208 Racecourse Rd, Kensington VIC 3031, Australia"
89,89,-37.79368426,145.0070023,"M3, Fairfield VIC 3078, Australia"
90,90,-37.99872543,145.0837959,"387 Nepean Highway Service Road, Mordialloc VIC 3195, Australia"
91,91,-37.6892085,144.6051814,"2306 Melton Hwy, Melton VIC 3337, Australia"
92,92,-37.97831932,145.07210780000003,"119 State Route 15, Mentone VIC 3194, Australia"
93,93,-37.84828193,145.0766606,"1134 Toorak Rd, Camberwell VIC 3124, Australia"
94,94,-37.85605619,145.1800689,"491 Burwood Hwy, Vermont South VIC 3133, Australia"
95,95,-37.82730955,145.02521919999998,"Hawthorn VIC 3122, Australia"
96,96,-37.63769615,144.80552769999997,"83 Bulla Rd, Bulla VIC 3428, Australia"
97,97,-37.63744494,144.805157,"84 Bulla Rd, Bulla VIC 3428, Australia"
98,98,-37.82355237,145.297222,"Bayswater North VIC 3153, Australia"
99,99,-37.82340147,145.2972639,"72 Canterbury Rd, Bayswater North VIC 3153, Australia"
100,100,-37.65967343,145.03044939999998,"343 Dalton Rd, Epping VIC 3076, Australia"
101,101,-37.81102797,144.8177446,"175 State Route 32, Sunshine West VIC 3020, Australia"
102,102,-37.81102234,144.81789780000003,"174 State Route 32, Sunshine West VIC 3020, Australia"
103,103,-37.69555982,145.0169282,"55 State Route 48, Reservoir VIC 3073, Australia"
104,104,-37.75887032,144.74743830000003,"Cnr Panamax Dr &, Ballarat Rd, Caroline Springs VIC 3023, Australia"
105,105,-37.75643896,144.73994319999997,"1183-1199 Western Hwy, Ravenhall VIC 3023, Australia"
106,106,-37.81582668,145.3255885,"73 Canterbury Rd, Montrose VIC 3765, Australia"
107,107,-37.71498982,145.0079041,"319 State Route 45, Reservoir VIC 3073, Australia"
108,108,-37.71898973,145.14621330000003,"71 Bridge St, Eltham VIC 3095, Australia"
109,109,-37.72970881,145.005446,"648 State Route 29, Reservoir VIC 3073, Australia"
110,110,-37.72974724,145.0054383,"648 State Route 29, Reservoir VIC 3073, Australia"
111,111,-37.72849988,145.054677,"4 Research Ave, Bundoora VIC 3083, Australia"
112,112,-37.72768626,145.05277959999998,"704 Waterdale Rd, Bundoora VIC 3083, Australia"
113,113,-37.74093320000001,145.03695980000003,"216 Southern Rd, Heidelberg West VIC 3081, Australia"
114,114,-37.74150261,145.0409676,"165-167 Southern Rd, Heidelberg West VIC 3081, Australia"
115,115,-37.76532644,145.04630569999998,"279 State Route 46, Ivanhoe VIC 3079, Australia"
116,116,-37.76450268,145.04678280000002,"289 Upper Heidelberg Rd, Ivanhoe VIC 3079, Australia"
117,117,-37.77541135,144.9898034,"17 Clarke St, Northcote VIC 3070, Australia"
118,118,-37.77442431,144.99035800000001,"76 State Route 45, Northcote VIC 3070, Australia"
119,119,-37.81808894,145.1647415,"259 Whitehorse Rd, Blackburn VIC 3130, Australia"
120,120,-37.87597744,145.1818465,"947 High St Rd, Glen Waverley VIC 3150, Australia"
121,121,-37.80053104,144.8892021,"Footscray VIC 3011, Australia"
122,122,-37.80556425,144.90581640000002,"100 Moreland St, Footscray VIC 3011, Australia"
123,123,-37.7927167,144.8628631,"South Rd, Braybrook VIC 3019, Australia"
124,124,-37.79205807,144.8575084,"Braybrook VIC 3019, Australia"
125,125,-37.79893589,144.89226580000002,"97 Geelong Rd, Footscray VIC 3011, Australia"
126,126,-37.79897905,144.89320080000002,"320 Barkly St, Footscray VIC 3011, Australia"
127,127,-37.80221409,144.8867077,"225 State Route 32, Seddon VIC 3011, Australia"
128,128,-37.80219997,144.8865301,"225 Buckley St, Seddon VIC 3011, Australia"
129,129,-37.80548756,144.9052011,"11-17 Napier St, Footscray VIC 3011, Australia"
130,130,-37.80558646,144.86156599999998,"4A Paramount Rd, Tottenham VIC 3012, Australia"
131,131,-37.80517801,144.8616324,"15A Paramount Rd, West Footscray VIC 3012, Australia"
